지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심적설(cm),평균 지면온도(°C)
133,대전,2017. 5. 28,21.4,,1.9,54.5,12.1,27.72,,28.1
133,대전,2017. 5. 29,24.1,,3.1,55.8,12.2,28.74,,31.1
133,대전,2017. 5. 30,23.5,,1.5,57.6,10.3,23.22,,30.1
133,대전,2017. 5. 31,22,3.5,1.4,68.1,5.1,19.07,,25.2
133,대전,2017. 6. 1,22,,1.8,71.1,8.7,23.22,,26.6
133,대전,2017. 6. 2,20.3,0,1.6,51,13.5,31.96,,28.7
133,대전,2017. 6. 3,20.4,0.2,2.1,47.4,13.2,30.77,,29.5
133,대전,2017. 6. 4,20.8,,1.5,45.1,13.7,32.34,,30.2
133,대전,2017. 6. 5,22.6,,1.8,40.5,12.3,29.88,,31.7
133,대전,2017. 6. 6,18.3,10.3,3.2,72.1,0,8.03,,21
133,대전,2017. 6. 7,17.9,4.5,1.7,93.1,0,4.33,,19.7
133,대전,2017. 6. 8,20.1,,1.7,72.9,9,25.02,,23.2
133,대전,2017. 6. 9,22,,2.7,67.3,11.2,28.54,,26.7
133,대전,2017. 6. 10,22.6,,2.1,67,6.5,19.68,,25.6
133,대전,2017. 6. 11,22.8,,1.7,41.5,13.2,32.33,,30.5
133,대전,2017. 6. 12,22.1,,2.7,54.4,9.1,25.05,,30.3
133,대전,2017. 6. 13,21.7,0,2,57.6,10.4,26.97,,30.7
133,대전,2017. 6. 14,22,,1.6,61.3,13,29.81,,31.5
133,대전,2017. 6. 15,23.1,,2.3,64.9,12.8,29.55,,31.4
133,대전,2017. 6. 16,25.3,,1.7,53.8,12.4,28.91,,33.6
133,대전,2017. 6. 17,24.7,,1.2,47.6,13,28.93,,32.6
133,대전,2017. 6. 18,25.3,,1.5,50.3,13.4,31.39,,33.9
133,대전,2017. 6. 19,26.1,,1.3,54.4,12.4,28.64,,33.9
133,대전,2017. 6. 20,25.4,,1.3,53.8,4.3,17.95,,29.7
133,대전,2017. 6. 21,24.8,0,1.7,61,9.6,23.94,,33.7
133,대전,2017. 6. 22,25.3,,1.4,61.5,11.9,28.33,,32.7
133,대전,2017. 6. 23,27.4,,1.3,52.4,10.4,27.05,,35.1
133,대전,2017. 6. 24,24.5,2.8,1.2,70.5,3.8,15.69,,26.8
133,대전,2017. 6. 25,25,,1.2,73.3,8.6,21.46,,30.4
133,대전,2017. 6. 26,23.9,1.8,2.1,81.4,4.1,15.51,,32.5
133,대전,2017. 6. 27,24.6,12.2,1.7,77.5,4.7,17.33,,29.9
133,대전,2017. 6. 28,25.3,3.2,1.2,76.4,5.6,22.73,,29.7
133,대전,2017. 6. 29,26.1,0.3,1,73.9,7.7,21.37,,29.2
133,대전,2017. 6. 30,26.9,,1.2,71.8,7.6,24.23,,33.2
133,대전,2017. 7. 1,24.1,14.4,0.8,94.5,0,5.43,,25.7
133,대전,2017. 7. 2,25.7,39.5,1.7,94.5,0.2,7.47,,27.1
133,대전,2017. 7. 3,25.3,69.9,2.1,94.5,0.6,8.72,,26.3
133,대전,2017. 7. 4,25.9,34,1.5,91.8,4.7,14.01,,27.8
133,대전,2017. 7. 5,27.8,,1,77.8,10.4,24.69,,31.8
133,대전,2017. 7. 6,26,41.2,1.2,88.3,4,13.51,,27.5
133,대전,2017. 7. 7,26.7,1.7,1.5,86.9,0,10.84,,28
133,대전,2017. 7. 8,26.1,61,1.6,91.1,2.6,9.18,,28.1
133,대전,2017. 7. 9,26.7,31,1.2,88.8,7,19.64,,31.2
133,대전,2017. 7. 10,25.8,35,1.7,96.4,0.6,7.68,,27.3
133,대전,2017. 7. 11,26.5,0.8,2,87.8,6,21.43,,28.9
133,대전,2017. 7. 12,27.9,,1.2,81.9,8.2,21.27,,28.1
133,대전,2017. 7. 13,27.9,,1.1,78.1,10.8,24.6,,31.6
133,대전,2017. 7. 14,27.6,1.9,1.6,82,7.3,22.65,,33.1
133,대전,2017. 7. 15,25.2,24.5,2,92.4,1.1,10.13,,26.7
133,대전,2017. 7. 16,27.4,0.1,1.9,85,0.3,10.6,,27.7
133,대전,2017. 7. 17,25.6,7.1,1.6,92.4,0,8.58,,28.1
133,대전,2017. 7. 18,25.7,0.9,1.5,92.6,2.8,14.56,,28.5
133,대전,2017. 7. 19,28,,1,83.1,7.2,20.91,,32
133,대전,2017. 7. 20,29.5,,1.4,80.9,10.7,23.89,,33.9
133,대전,2017. 7. 21,30.1,,1.8,79.6,7.3,20.32,,32.8
133,대전,2017. 7. 22,29.7,,1.9,83.5,4,16.95,,33.7
133,대전,2017. 7. 23,27.9,1.2,2,91.3,0,4.96,,28
133,대전,2017. 7. 24,28.8,0.7,1.7,92.4,0,8.75,,29.5
133,대전,2017. 7. 25,28.5,27.6,2.2,86,9.9,22.22,,33.3
133,대전,2017. 7. 26,27.6,,3.4,69.8,12.3,26.12,,30.7
133,대전,2017. 7. 27,28,,1.6,68.1,10.3,26.38,,32.5
133,대전,2017. 7. 28,28.5,10.7,1.6,80.8,3.2,16.52,,30.6
133,대전,2017. 7. 29,27.2,2.1,2.7,87.3,7.2,20.83,,31.8
133,대전,2017. 7. 30,27.9,0,1.9,82.4,7.3,19.91,,31.5
133,대전,2017. 7. 31,25.1,29.2,0.9,97.8,0,3.86,,25.9
133,대전,2017. 8. 1,26.7,9.2,0.9,87.5,8.1,20.67,,29.4
133,대전,2017. 8. 2,29.4,,1.6,82.8,10.1,24.94,,32.6
133,대전,2017. 8. 3,28.6,,3.3,75.1,12.6,28.95,,32.1
133,대전,2017. 8. 4,29.9,,1.8,76.5,12.7,25.54,,33.4
133,대전,2017. 8. 5,31.8,,1.6,73.8,12.9,26.56,,38.4
133,대전,2017. 8. 6,31.1,0,1.6,75.3,7.4,21.62,,36.6
133,대전,2017. 8. 7,29.4,,1.3,76.8,11.2,24.26,,37.6
133,대전,2017. 8. 8,28.1,0,0.9,78.8,1.5,15.83,,32.2
133,대전,2017. 8. 9,24.3,37.3,1.1,97.1,0,4.29,,25.8
133,대전,2017. 8. 10,26.4,3.8,0.9,91.3,4,14.59,,28
133,대전,2017. 8. 11,27.1,0,0.8,83.4,7.1,22.31,,29.6
133,대전,2017. 8. 12,27.2,,1.5,76.3,8.3,21.7,,29.2
133,대전,2017. 8. 13,24.6,1.4,3.1,79.9,0,9.55,,25.5
133,대전,2017. 8. 14,22.4,65,2.3,96.9,0.2,6.15,,23.9
133,대전,2017. 8. 15,22.9,34.4,1.8,98,0,3.68,,23.7
133,대전,2017. 8. 16,25,4.2,1.4,92.4,3.6,13.45,,28
133,대전,2017. 8. 17,25.7,1.2,1.2,87,5.2,17.79,,28.5
133,대전,2017. 8. 18,26.1,0,1.1,83.8,7.5,19.45,,28.2
133,대전,2017. 8. 19,25.1,10.2,1.4,92.4,3.6,13.96,,27
133,대전,2017. 8. 20,25.9,2.7,3.1,89.1,2.6,13.13,,27.1
133,대전,2017. 8. 21,24.7,36.1,1.2,97.1,0.1,6.86,,25.6
133,대전,2017. 8. 22,27.4,0.7,1.4,88.4,8.4,19.4,,30.1
133,대전,2017. 8. 23,28.9,2.1,1.7,85,7.1,18.7,,30.6
133,대전,2017. 8. 24,27.5,49.8,2.3,91,3,9.99,,28.3
133,대전,2017. 8. 25,26.1,,1.2,74.4,10.1,25.87,,28.8
133,대전,2017. 8. 26,23.3,,1,65.9,11.7,27.04,,26.8
133,대전,2017. 8. 27,24,,0.9,68.4,9.6,24.29,,26.8
133,대전,2017. 8. 28,24.8,35.2,1.7,82.6,3.8,12.7,,26.9
133,대전,2017. 8. 29,21,,1.6,69.1,10.8,25.66,,26.6
133,대전,2017. 8. 30,18.1,0.5,0.9,71,0.3,9.5,,21.6
133,대전,2017. 8. 31,21.5,,1.1,75.5,11.1,24.57,,26.6
133,대전,2017. 9. 1,22.1,,1.3,71.1,12.3,26.86,,27.8
133,대전,2017. 9. 2,21.4,,1.4,70,10.4,21.93,,25.7
133,대전,2017. 9. 3,22.2,,1.5,67.8,11,26.01,,28.9
133,대전,2017. 9. 4,22.4,,1.7,70,8.5,21.18,,27.9
133,대전,2017. 9. 5,21.2,0.8,1,86.8,0,6.63,,23.3
133,대전,2017. 9. 6,20.9,1.4,0.7,92.5,0,5.53,,23
133,대전,2017. 9. 7,21.9,,0.7,85.4,5.2,15.98,,26.3
133,대전,2017. 9. 8,22.7,,0.9,82.5,6.1,18.51,,26.8
133,대전,2017. 9. 9,22.4,,0.8,84,4.8,16.41,,25.6
133,대전,2017. 9. 10,22.7,,0.8,85.6,1.1,11.23,,24.1
133,대전,2017. 9. 11,20.4,77,1.4,94.6,0.3,6.29,,22.3
133,대전,2017. 9. 12,21.9,,1.3,79,10.6,22.27,,23.8
133,대전,2017. 9. 13,20.1,,1.1,67.6,11.6,24.62,,23.1
133,대전,2017. 9. 14,20.9,,1.4,71.5,11.7,24.55,,23.5
133,대전,2017. 9. 15,21.7,,3.5,63,9.9,20.55,,22.8
133,대전,2017. 9. 16,21.2,,3.3,68,4.5,14.63,,21.6
133,대전,2017. 9. 17,21.5,,1.5,75.1,6.9,18.04,,22.7
133,대전,2017. 9. 18,21.3,,1.5,78.1,10.8,21.21,,24.9
133,대전,2017. 9. 19,22.8,0.5,2,82.3,6.4,15.42,,24
133,대전,2017. 9. 20,20,0.7,1.7,65.9,10.5,21.12,,23.5
133,대전,2017. 9. 21,18.7,,1,73.8,11.5,23.37,,24
133,대전,2017. 9. 22,20.2,,1,74.4,11,21.05,,24.1
133,대전,2017. 9. 23,20.4,,0.9,84.4,3.9,14.39,,23.5
133,대전,2017. 9. 24,22.4,0,1.1,85,6.3,15.08,,24.7
133,대전,2017. 9. 25,23.1,,1,80.5,8.3,18.79,,27.1
133,대전,2017. 9. 26,23.5,,1.5,73.5,8.2,19.28,,27.5
133,대전,2017. 9. 27,19.3,31,1.1,94.5,0.8,5.11,,20.8
133,대전,2017. 9. 28,20.1,,1.7,67.5,10.2,21.2,,22.4
133,대전,2017. 9. 29,15.8,,1.1,62,10.5,19.62,,18.2
133,대전,2017. 9. 30,17.5,,1.1,74,10.6,20.16,,19.5
133,대전,2017. 10. 1,15.6,16.5,0.9,91.6,0,4.14,,16.6
133,대전,2017. 10. 2,19.1,3,0.7,93.6,1.3,8.12,,19.6
133,대전,2017. 10. 3,18,,0.8,78.5,7.1,17.28,,20.3
133,대전,2017. 10. 4,17.5,,1.5,68.5,8.8,18.34,,20
133,대전,2017. 10. 5,18,,3.4,70.5,4,12.01,,18.6
133,대전,2017. 10. 6,16.9,1.5,0.8,88.1,0.1,5.26,,17.7
133,대전,2017. 10. 7,19.9,0,0.7,86.4,5,14.22,,21.7
133,대전,2017. 10. 8,20.8,,0.8,83.5,8.9,17.12,,22.4
133,대전,2017. 10. 9,21.6,,0.7,83.4,6.2,12.87,,22.1
133,대전,2017. 10. 10,22.3,,1,84.3,5,12.58,,22.6
133,대전,2017. 10. 11,17.5,6,1.4,92.3,0.1,3.77,,18.7
133,대전,2017. 10. 12,12.1,1.3,0.7,91.4,0,3.17,,14
133,대전,2017. 10. 13,11.6,,1.1,76.6,8.9,18.62,,14.9
133,대전,2017. 10. 14,13.5,,1.2,66.5,7.7,17.06,,15.2
133,대전,2017. 10. 15,15,,1.9,70.4,5,11.99,,15.1
133,대전,2017. 10. 16,16,,1.3,71.1,4.4,11.15,,16.9
133,대전,2017. 10. 17,15.7,,1.1,74.8,10.1,17.54,,17.6
133,대전,2017. 10. 18,16.3,0,2.8,67.6,0.6,7,,15.4
133,대전,2017. 10. 19,16.1,,1.4,72.6,8,14.45,,17.5
133,대전,2017. 10. 20,16.1,,1,73.8,10.1,17.18,,18.7
133,대전,2017. 10. 21,15.7,,1.1,76.1,10,17.16,,18.2
133,대전,2017. 10. 22,15.7,,2.1,65.4,7.9,15.34,,16.9
133,대전,2017. 10. 23,13,,1.5,63.8,9.8,16.83,,16.3
133,대전,2017. 10. 24,12.4,,1,74.5,9.1,15.44,,15.8
133,대전,2017. 10. 25,12.4,,0.9,74.8,9.4,16.06,,15.5
133,대전,2017. 10. 26,12.8,,0.7,76.1,4.2,11.59,,14.7
133,대전,2017. 10. 27,14.3,,0.8,74.5,2.6,8.97,,15.7
133,대전,2017. 10. 28,15.5,,1.3,78.3,9,15.27,,16.7
133,대전,2017. 10. 29,11.6,,1.8,71.9,8.3,12.81,,14.5
133,대전,2017. 10. 30,7,,1.3,52.9,9.9,16.92,,10.7
133,대전,2017. 10. 31,8.8,,1,66.6,9.8,16.44,,11.6
133,대전,2017. 11. 1,13.1,,1.3,74.8,6.9,14.03,,16.6
133,대전,2017. 11. 2,13.9,,0.7,83.6,3.5,8.85,,15.7
133,대전,2017. 11. 3,11.3,0.3,1.6,78,4.3,7.01,,13
133,대전,2017. 11. 4,7.7,,1.1,65.3,9.2,14.62,,11.5
133,대전,2017. 11. 5,7.3,,1,75.3,9.4,15.06,,10.3
133,대전,2017. 11. 6,9.2,,1,75,9.2,14.46,,11.3
133,대전,2017. 11. 7,13.5,0,0.7,78.4,6.8,12.59,,14.9
133,대전,2017. 11. 8,13.8,0.7,1.6,70.1,8.1,12.72,,15.2
133,대전,2017. 11. 9,8.7,,0.9,60.5,9.4,14.23,,10.9
133,대전,2017. 11. 10,9.9,3.1,1.8,72.9,3.4,7.37,,10.7
133,대전,2017. 11. 11,6,,1.5,61.4,9.2,14.37,,7.6
133,대전,2017. 11. 12,5.4,,1,68.8,9.2,13.87,,6.6
133,대전,2017. 11. 13,7.3,0,1.1,69.6,1.5,6.49,,6.6
133,대전,2017. 11. 14,8.8,0,2,59,8.8,12.24,,8.8
133,대전,2017. 11. 15,5.7,0,1.9,56.9,6.9,10.58,,7
133,대전,2017. 11. 16,2.6,,1.2,54.4,9.3,13.65,,4.6
133,대전,2017. 11. 17,4.7,0.1,1.3,63.9,2.9,6.12,,3.9
133,대전,2017. 11. 18,0.9,0,2.6,49.8,9.2,14.41,,4.1
133,대전,2017. 11. 19,-0.4,,1.1,54.3,7.2,10.51,,2.2
133,대전,2017. 11. 20,3.7,,1.4,62,7.7,11.92,,5.1
133,대전,2017. 11. 21,2.5,,1,65.5,9,13.8,,3.9
133,대전,2017. 11. 22,4.7,0.1,1.7,70.5,2.3,3.98,,4.9
133,대전,2017. 11. 23,1.1,2.1,1.6,72.3,4.5,8.07,2.3,1.2
133,대전,2017. 11. 24,0.9,5.9,1.1,90.6,2.6,6.1,5.1,1.5
133,대전,2017. 11. 25,6.1,,2,71.4,5.7,8.58,,3.6
133,대전,2017. 11. 26,7.1,2.8,1.9,74.9,3.4,6.17,,6.1
133,대전,2017. 11. 27,3.1,,0.9,79.4,8.3,11.09,,3.6
133,대전,2017. 11. 28,5.8,0,1,84.1,2.7,6.66,,5.3
133,대전,2017. 11. 29,6.4,0,1.6,53.1,6.4,9.87,,6.4
133,대전,2017. 11. 30,-0.3,,1.9,42.5,8.3,12.2,,1.9
133,대전,2017. 12. 1,-0.6,,1.3,38.3,8.9,12.86,,1.3
133,대전,2017. 12. 2,2,,0.8,56.1,6.8,9.1,,2
133,대전,2017. 12. 3,5.6,0,0.9,75,4.2,7.96,,4.2
133,대전,2017. 12. 4,2.3,0,2.2,62.8,7.4,11.67,,4.3
133,대전,2017. 12. 5,-3.2,,1.3,51.6,8.8,12.09,,0.6
133,대전,2017. 12. 6,1.5,2.5,1,78.6,5.6,8.79,3.3,2
133,대전,2017. 12. 7,3.2,2,1.4,75.5,3.3,6.8,,3.9
133,대전,2017. 12. 8,-1.7,,1.8,55.3,8.6,11.36,,0.7
133,대전,2017. 12. 9,1.2,0,0.9,73.5,1.9,6.31,,1.4
133,대전,2017. 12. 10,3.1,3,1.7,83.6,2.3,4.91,1.1,2.7
133,대전,2017. 12. 11,-4.2,0.6,2.1,70.5,2.4,6.19,2.2,-0.9
133,대전,2017. 12. 12,-6.9,,1.5,61.1,8.8,12.03,,-2.5
133,대전,2017. 12. 13,-5.9,,1.4,55.3,8.8,12.15,,-3.1
133,대전,2017. 12. 14,-4.9,,0.8,60,5.7,9.12,,-3.3
133,대전,2017. 12. 15,-1.3,,1,50.5,5.7,8.75,,-1.7
133,대전,2017. 12. 16,-2.1,0,2.1,53.6,6.9,9.76,,-0.5
133,대전,2017. 12. 17,-5.1,,1.1,57,8.6,11.58,,-2.8
133,대전,2017. 12. 18,1,0,1.7,68.1,7,9.51,,-0.9
133,대전,2017. 12. 19,-2.1,0.5,1.7,56,6.2,9.32,0,-0.2
133,대전,2017. 12. 20,-1.3,1.8,1.1,74.6,6.6,10.07,2,-1.7
133,대전,2017. 12. 21,-0.6,,0.9,77.3,8.1,7.42,2,0.4
133,대전,2017. 12. 22,1.9,,0.9,74.8,5.3,5.05,,1.2
133,대전,2017. 12. 23,3.9,,0.7,81.3,5.7,4.39,,2.3
133,대전,2017. 12. 24,3.2,21.4,1.6,90.5,0,0.37,,2.1
133,대전,2017. 12. 25,-0.2,,2.3,56,8.6,7.64,,1.3
133,대전,2017. 12. 26,-1.1,0.3,2.2,64.9,5.5,4.31,0.3,0.6
133,대전,2017. 12. 27,-5.1,,1.5,47.4,8.6,7.67,,-1.9
133,대전,2017. 12. 28,-1.6,,0.8,57.9,4.2,4.04,,-0.8
133,대전,2017. 12. 29,2.9,0,0.8,78.9,0,1.47,,0.4
133,대전,2017. 12. 30,3.5,0.9,0.9,80.8,2.7,2.84,,1.7
133,대전,2017. 12. 31,1.3,0.5,1.9,65.8,8.1,6.48,,2.2
143,대구,2017. 1. 1,3.4,,1,73.3,6.1,8.56,,2.3
143,대구,2017. 1. 2,5.3,,1.4,73.4,7.8,9.27,,3.6
143,대구,2017. 1. 3,5.2,,2,49.8,8.8,10.24,,3.4
143,대구,2017. 1. 4,3.9,,1.1,66,6,7.76,,2.4
143,대구,2017. 1. 5,3.4,,2,80,0,3.03,,2.6
143,대구,2017. 1. 6,4.9,,1.3,71.9,0.3,4.21,,4.4
143,대구,2017. 1. 7,3.3,,0.5,75.9,3,6.38,,2.7
143,대구,2017. 1. 8,7.4,,0.6,70.1,3.4,6.35,,7.3
143,대구,2017. 1. 9,6.2,,3.7,49.8,5.6,7.81,,5.2
143,대구,2017. 1. 10,1.7,,4.3,45,8.7,11.11,,2.1
143,대구,2017. 1. 11,-0.7,,4.2,37.6,8.7,11.44,,0.7
143,대구,2017. 1. 12,1.2,,2.8,50.6,6.2,9.06,,0.8
143,대구,2017. 1. 13,-0.6,0,4,40.6,5,7.14,,-0.2
143,대구,2017. 1. 14,-4.3,,5.3,35.1,9.2,12.17,,-1.6
143,대구,2017. 1. 15,-3.3,,3.6,26.1,9.4,12.39,,-2
143,대구,2017. 1. 16,-1.4,,1.7,41.8,9.4,11.86,,-1
143,대구,2017. 1. 17,-1,,0.9,49.4,7,9.51,,-0.9
143,대구,2017. 1. 18,2.1,,2,48.6,6.3,8.6,,0.6
143,대구,2017. 1. 19,1.2,,0.8,67.3,7.9,9.57,,1.3
143,대구,2017. 1. 20,-0.7,0.7,3.9,61.3,5.2,7.47,0.4,0.3
143,대구,2017. 1. 21,-1.3,,2.2,55.6,9.1,10.78,,-1.1
143,대구,2017. 1. 22,-2.7,1.5,5,55.3,8.9,12.24,2,0.2
143,대구,2017. 1. 23,-4.4,,4,43.1,9.3,12.41,,-2.7
143,대구,2017. 1. 24,-2.6,,2.9,41,9.6,12.89,,-2.1
143,대구,2017. 1. 25,-2.2,,1.9,43.8,9.6,13.06,,-1.8
143,대구,2017. 1. 26,-0.3,,1.2,41,8.8,12.4,,-1.3
143,대구,2017. 1. 27,3.7,0,3.3,28.5,7.4,12.41,,3.6
143,대구,2017. 1. 28,2,,1.5,31.4,8.8,12.81,,2.3
143,대구,2017. 1. 29,3.9,0.2,0.9,53.5,0,2.08,,4.3
143,대구,2017. 1. 30,0.8,0.1,4.7,47.8,9.2,12.82,,2.7
143,대구,2017. 1. 31,-0.6,,2.1,39.1,9.5,13.21,,1.3
143,대구,2017. 2. 1,0.8,,4.6,31.4,7.4,12.36,,2.2
143,대구,2017. 2. 2,1.3,,4.2,24.9,10,14.7,,1.5
143,대구,2017. 2. 3,4.3,,2.7,42.6,9,12.89,,3.8
143,대구,2017. 2. 4,6.5,0,0.9,36.4,7.4,12.19,,5.7
143,대구,2017. 2. 5,6.1,0.6,2.7,66.8,3.6,7.54,,5.7
143,대구,2017. 2. 6,2.4,,4.4,40,9.8,14.39,,3.6
143,대구,2017. 2. 7,1.8,,1.2,47.9,6.1,11.37,,3.5
143,대구,2017. 2. 8,2.4,,1.9,49.9,0.8,7.28,,3.9
143,대구,2017. 2. 9,-1,,5.3,38.6,7.7,13.4,,2.1
143,대구,2017. 2. 10,-3,,5.4,39.4,10.1,15.59,,-0.2
143,대구,2017. 2. 11,-2.1,0,4.5,41.9,9.9,15.46,,0.4
143,대구,2017. 2. 12,0.7,,2.4,42.1,9.8,15.85,,1.6
143,대구,2017. 2. 13,2.6,0,2.1,53.5,9.3,14.09,,3.3
143,대구,2017. 2. 14,2.7,0,1.2,54.8,10,15.33,,4
143,대구,2017. 2. 15,4,,1.3,38.4,10,14.99,,3.5
143,대구,2017. 2. 16,8.9,0,1.5,46.5,8.4,12.46,,6.4
143,대구,2017. 2. 17,9.3,0,3.9,40.9,6,11.98,,10.2
143,대구,2017. 2. 18,1.3,,4.7,27.4,10.3,16.91,,3.3
143,대구,2017. 2. 19,4.5,0.1,1.4,49.4,7.6,13.99,,5.5
143,대구,2017. 2. 20,5.2,5.5,4.1,52.3,8,15.09,,6.8
143,대구,2017. 2. 21,2.7,,1.6,50.1,10.4,16.33,,4.5
143,대구,2017. 2. 22,3.5,19.5,1.6,85.6,0,1.92,,4.3
143,대구,2017. 2. 23,2.4,,4.3,50.5,3,10.03,,3.4
143,대구,2017. 2. 24,1.7,,3.7,35.4,9.8,17.74,,2.2
143,대구,2017. 2. 25,4.1,,1.9,41.6,10.4,17.61,,3.1
143,대구,2017. 2. 26,4.8,,1.4,51.4,10.2,16.34,,4.8
143,대구,2017. 2. 27,5.3,,1.8,67.1,8.3,16.03,,7.2
143,대구,2017. 2. 28,7.1,,1.3,52,10.2,17.24,,8.6
143,대구,2017. 3. 1,7.5,0.5,1.1,50,4.3,11.78,,8.5
143,대구,2017. 3. 2,5.2,5,3.8,61.6,3.8,8.3,,5.8
143,대구,2017. 3. 3,6.2,,2.4,36.4,10.6,18.2,,6.5
143,대구,2017. 3. 4,8.2,,1.2,44.4,9.2,17,,9.2
143,대구,2017. 3. 5,8.3,,0.9,45.3,6.2,13.09,,8.5
143,대구,2017. 3. 6,4.7,,5,32.9,10.2,19.16,,7.6
143,대구,2017. 3. 7,1.3,,4.5,37.5,9.4,19.16,,5
143,대구,2017. 3. 8,2.2,,4.3,40.5,9.2,17.98,,5
143,대구,2017. 3. 9,6.6,,4.6,31.8,10.6,19.24,,8.1
143,대구,2017. 3. 10,7.3,,3,28.9,10.8,19.9,,9.3
143,대구,2017. 3. 11,7.9,,1.3,39,10.8,18.43,,9.4
143,대구,2017. 3. 12,10.8,,1.3,36.6,9.2,17.2,,11.4
143,대구,2017. 3. 13,10.1,,2.7,44.4,9,17.52,,13.3
143,대구,2017. 3. 14,8.3,0,2.6,52.9,10.1,19.34,,12.5
143,대구,2017. 3. 15,6.6,,2.1,51.6,11.1,20.12,,10.8
143,대구,2017. 3. 16,8.7,,1.7,46.4,8.6,17.08,,12.4
143,대구,2017. 3. 17,9.4,,1.3,33,11,19.15,,12.5
143,대구,2017. 3. 18,10.3,,1.2,38,6.6,14.2,,11.6
143,대구,2017. 3. 19,10.4,,1.8,39.9,10.3,19.56,,13.6
143,대구,2017. 3. 20,8.1,6,1.2,74.3,3,8.78,,9.6
143,대구,2017. 3. 21,8.9,3,2.7,64,10,18.11,,12
143,대구,2017. 3. 22,8.9,,1.5,44.5,8.2,17.91,,11.1
143,대구,2017. 3. 23,11.4,,2.3,37.3,8.4,16.54,,14
143,대구,2017. 3. 24,9.7,,2.7,49.4,4.1,13.56,,12.7
143,대구,2017. 3. 25,6.3,18.5,1.4,85.3,0.4,5.84,,8.5
143,대구,2017. 3. 26,6.5,4,1.4,80.6,2,10.52,,9.3
143,대구,2017. 3. 27,6.4,0.5,2.7,67.1,2.6,10.31,,8.1
143,대구,2017. 3. 28,8.8,,1.3,52.3,8.9,18.95,,10.3
143,대구,2017. 3. 29,9.8,0.4,2,70.8,6.8,17.29,,12.8
143,대구,2017. 3. 30,11.9,,2.2,58,10,21.24,,14.7
143,대구,2017. 3. 31,9.3,0.5,3.3,71,0,5.37,,10
143,대구,2017. 4. 1,7.6,5.5,1.2,81.6,1.9,10.13,,10.4
143,대구,2017. 4. 2,9.2,,1.8,55.6,9.8,22.18,,13
143,대구,2017. 4. 3,13.9,,2.5,31.4,11.8,23.46,,14.2
143,대구,2017. 4. 4,15.4,,1.3,40.4,10.5,21.25,,15.8
143,대구,2017. 4. 5,14.6,4,1.9,69,0,4.83,,13.4
143,대구,2017. 4. 6,16.9,5,2.1,82,1.2,8.38,,16.8
143,대구,2017. 4. 7,15.8,,2.5,66.6,11.4,23.41,,18.3
143,대구,2017. 4. 8,18.7,,1.4,53,8.6,21.39,,20.1
143,대구,2017. 4. 9,13.3,,4.1,59.9,0,7.67,,14.4
143,대구,2017. 4. 10,12,1.5,4.6,59.8,10.2,23.92,,16.2
143,대구,2017. 4. 11,13,17.5,3,69.9,6.2,16.06,,14.5
143,대구,2017. 4. 12,14.6,,3.7,23.8,8.7,21.29,,15.6
143,대구,2017. 4. 13,15.6,,2.5,31.9,11.4,22.83,,17.3
143,대구,2017. 4. 14,16.2,0,1.9,49.4,8.2,18.64,,15.9
143,대구,2017. 4. 15,20.6,,1.9,42.3,11.8,24.17,,23.2
143,대구,2017. 4. 16,20.6,,1.3,38.3,10.6,22.78,,23
143,대구,2017. 4. 17,13.7,11,1.7,83.3,0,1.88,,13.7
143,대구,2017. 4. 18,15.6,4.5,2.4,66.4,8.4,20.39,,19.1
143,대구,2017. 4. 19,15.8,,3.9,34.5,12.3,25.21,,18.3
143,대구,2017. 4. 20,13.9,0.5,1.6,56.5,1.2,9.47,,15.3
143,대구,2017. 4. 21,14.7,,2.1,61.6,8.6,19.2,,18.6
143,대구,2017. 4. 22,13.9,,2.3,65.3,10,22.24,,19.4
143,대구,2017. 4. 23,15.9,,1.5,52.6,12.3,25.52,,21.2
143,대구,2017. 4. 24,17.1,,1.7,48.8,12,26.45,,22.4
143,대구,2017. 4. 25,19.5,,1.6,58.6,2.7,15.89,,21.6
143,대구,2017. 4. 26,16,3.5,2,58.6,5.1,16.33,,18.7
143,대구,2017. 4. 27,15.4,,3.3,29.3,10.7,25.37,,19.1
143,대구,2017. 4. 28,17.7,,2.8,29.6,11.8,25.64,,20.9
143,대구,2017. 4. 29,19.7,,2.2,31.8,12.4,25.81,,24.2
143,대구,2017. 4. 30,23.5,,2.5,35.9,11.5,23.3,,26.1
143,대구,2017. 5. 1,18.5,,3.8,42.6,11.6,26.55,,25
143,대구,2017. 5. 2,16.7,,2.8,47.1,11.3,23.13,,22.4
143,대구,2017. 5. 3,19.3,,1.4,42.8,12.5,27.09,,26.5
143,대구,2017. 5. 4,20.3,0,1.6,51.3,9.1,22.03,,26.1
143,대구,2017. 5. 5,20.6,15.5,1.4,76.5,3.1,12.19,,24.9
143,대구,2017. 5. 6,19.2,,4.1,32.9,8.9,23.66,,21.6
143,대구,2017. 5. 7,20.1,,3.5,30.8,12.4,26.29,,23.5
143,대구,2017. 5. 8,20.5,,1.7,36.8,7.5,19.25,,23.2
143,대구,2017. 5. 9,15.4,16.5,1.5,83.9,0,4.09,,17.3
143,대구,2017. 5. 10,16.3,0.5,1.7,82,2,7.84,,16.3
